iter	Passed	Remaining
0	7	7585
1	13	6639
2	23	7681
3	31	7832
4	44	8917
5	62	10286
6	73	10424
7	78	9772
8	99	10925
9	107	10677
10	113	10178
11	122	10049
12	127	9682
13	138	9735
14	155	10208
15	163	10030
16	177	10241
17	189	10335
18	195	10072
19	206	10095
20	212	9885
21	228	10138
22	240	10211
23	253	10307
24	261	10213
25	271	10187
26	281	10141
27	287	9964
28	294	9870
29	299	9697
30	304	9527
31	312	9458
32	317	9292
33	321	9146
34	331	9151
35	336	9023
36	345	8997
37	350	8878
38	361	8895
39	365	8781
40	374	8764
41	379	8659
42	389	8668
43	395	8600
44	414	8789
45	427	8855
46	439	8915
47	445	8837
48	454	8816
49	461	8773
50	470	8763
51	475	8675
52	480	8580
53	487	8539
54	491	8450
55	496	8364
56	503	8330
57	507	8249
58	512	8169
59	519	8135
60	523	8058
61	527	7985
62	536	7976
63	540	7910
64	545	7843
65	552	7818
66	556	7754
67	561	7690
68	571	7707
69	576	7664
70	583	7636
71	587	7577
72	592	7525
73	600	7514
74	605	7472
75	617	7512
76	625	7498
77	635	7507
78	639	7450
79	645	7423
80	650	7377
81	652	7310
82	660	7296
83	665	7257
84	670	7215
85	680	7231
86	685	7195
87	694	7194
88	699	7159
89	709	7170
90	714	7141
91	718	7092
92	724	7066
93	728	7026
94	733	6987
95	744	7012
96	765	7123
97	777	7156
98	792	7212
99	807	7271
100	820	7306
101	836	7363
102	859	7481
103	880	7588
104	893	7615
105	897	7573
106	906	7565
107	910	7521
108	918	7504
109	922	7467
110	927	7426
111	934	7405
112	938	7365
113	940	7311
114	945	7276
115	952	7256
116	956	7218
117	961	7187
118	969	7179
119	975	7155
120	982	7137
121	987	7104
122	991	7073
123	998	7056
124	1002	7020
125	1007	6990
126	1016	6986
127	1020	6951
128	1032	6973
129	1054	7058
130	1060	7038
131	1067	7016
132	1072	6989
133	1079	6974
134	1083	6944
135	1087	6909
136	1094	6891
137	1098	6863
138	1102	6827
139	1106	6796
140	1111	6772
141	1115	6740
142	1119	6710
143	1126	6697
144	1130	6667
145	1135	6639
146	1140	6618
147	1144	6591
148	1149	6563
149	1156	6551
150	1161	6529
